,words/terms,Category,Subcategory
0,econ,Economy,
1,politica fiscal,Policy,Fiscal policy
2,impuesto,Policy,Fiscal policy
3,gasto publico,Policy,Fiscal policy
4,deficit fiscal,Policy,Fiscal policy
5,presupuesto,Policy,Fiscal policy
6,tributaria,Policy,Fiscal policy
7,deuda publica,Policy,Fiscal policy
8,gasto fiscal,Policy,Fiscal policy
9,presupuesto fiscal,Policy,Fiscal policy
10,ministerio de economia,Policy,Fiscal policy
11,mef,Policy,Fiscal policy
12,banco central,Policy,Monetary policy
13,bcu,Policy,Monetary policy
14,politica monetaria,Policy,Monetary policy
15,reserva federal,Policy,Monetary policy
16,fed,Policy,Monetary policy
17,tipo de cambio,Policy,Monetary policy
18,dolar,Policy,Monetary policy
19,peso uruguayo,Policy,Monetary policy
20,arancel,Policy,Trade policy
21,tratado de libre comercio,Policy,Trade policy
22,tlc,Policy,Trade policy
23,comercio internacional,Policy,Trade policy
24,incer,Uncertainty,
25,incier,Uncertainty,
26,pais,Economic situation Uruguay,
27,crisis,Economic situation Uruguay,
28,inseguridad,Economic situation Uruguay,
29,parlamento,Economic situation Uruguay,
30,senado,Economic situation Uruguay,
31,pandemia,Economic situation Uruguay,
32,coronavirus,Economic situation Uruguay,
33,covid,Economic situation Uruguay,
34,combustible,Economic situation Uruguay,
35,nafta,Economic situation Uruguay,
36,luc,Economic situation Uruguay,
37,ley de urgente consideracion,Economic situation Uruguay,
